,1,3,7,9
walking,10.798641204833984,20.851289749145508,36.900848388671875,42.434600830078125
eating,6.857203006744385,14.596714973449707,28.980648040771484,35.9769344329834
smoking,7.505449295043945,15.377545833587646,30.60761260986328,37.53507614135742
discussion,10.397239685058594,23.478941917419434,51.87960243225098,64.97539901733398
directions,7.699216842651367,18.885689735412598,44.671974182128906,56.182395935058594
greeting,15.057187557220459,33.110984802246094,70.91521644592285,85.42916488647461
phoning,9.082749843597412,18.933497428894043,39.93038558959961,49.794118881225586
posing,10.255249977111816,24.63030242919922,59.173479080200195,75.94309616088867
purchases,13.254212379455566,30.107473373413086,63.638145446777344,77.7958984375
sitting,9.806656837463379,20.592981338500977,44.23040008544922,55.51338195800781
sittingdown,15.436556339263916,32.00710105895996,60.74710273742676,73.75650024414062
takingphoto,8.918062686920166,19.527148246765137,43.142873764038086,54.37234306335449
waiting,10.430719375610352,22.443267822265625,50.712331771850586,62.35463905334473
walkingdog,24.886899948120117,51.5466423034668,100.28091812133789,112.90508270263672
walkingtogether,9.207277297973633,18.713215827941895,35.66323471069336,43.151634216308594
